species,genus,species,full_name,native_status,comments,form,
MOMA,Moehringia,macrophylla,Moehringia macrophylla,native,,herb,
MOOD,Monardella,odoratissma,Monardella odoratissma,native,var. glauca but some are likely M villosa (eg individuals from lower Elk Creek),herb,
MYXX,Myosotis,sp.,Myosotis sp.,,,herb,
NEPA,Nemophila,parviflora,Nemophila parviflora,native,some perhaps actually N. pedunculata?,herb,
NODE,Notholithocarpus,densifolius,Notholithocarpus densifolius,native,,tree,
OECE,Oemleria,cerasiformis,Oemleria cerasiformis,native,,shrub,
OSBE,Osmorrhiza,berteroi,Osmorrhiza berteroi,native,,herb,
OZTR,Ozomelis,trifida,Ozomelis trifida,native,,herb,
PAMY,Paxistima,myrsinites,Paxistima myrsinites,native,,shrub,
PEHU,Penstemon,humilis,Penstemon humilis,native,,herb,
PERX,Perideridia,sp.,Perideridia sp.,native,,herb,
PESP,Penstemon,speciosus,Penstemon speciosus,native,,herb,
PETR,Pentagramma,triangularis,Pentagramma triangularis,native,,herb,
PEXX,Penstemon,sp.,Penstemon sp.,native,,herb,
PHBO,Phacelia,hastata,Agrostis exerata,native,,herb,
PHHA,Phacelia,hastata,Phacelia hastata,native,CHECK,herb,
PHLE,Philadelphus,lewisii,Philadelphus lewisii,native,,shrub,
PIAT,Pinus,attenuata,Pinus attenuata,native,,tree,
PIEL,Piperia,elegans,Piperia elegans,native,,herb,
PILA,Pinus,lambertiana,Pinus lambertiana,native,,tree,
PIPO,Pinus,ponderosa,Pinus ponderosa,native,,tree,
PLEL,Platanthera,elegans,Platanthera elegans,native,,herb,
POA,Poa,sp,Poa sp,native,,grass,
POCO,Polygala,cornuta,Polygala cornuta,native,,herb,
POIM,Polystichum,imbricans,Polystichum imbricans,native,,herb,
PORE,Potentilla,recta,Potentilla recta,non_native,,herb,
POSE,Poa,secunda,Poa secunda,native,,grass,
PREM,Prunus,emarginata,Prunus emarginata,native,,shrub,
PRHO,Prosartes,hookeri,Prosartes hookeri,native,OR SMITHII?,herb,
PSME,Pseudotsuga,menziesii,Pseudotsuga menziesii,native,,tree,
PSTH,Pseudognaphalium,thermale,Pseudognaphalium thermale,native,,herb,
PTAQ,Pteridium,aquilinum,Pteridium aquilinum,native,,herb,
PYAP,Pyrola,aphylla,Pyrolla aphylla,native,,herb,
PYPI,Pyrola,picta,Pyrola picta,native,ID DOUBTFUL,herb,
QUCH,Quercus,chrysolepis,Quercus chrysolepis,native,,tree,
QUGA,Quercus,garryana,Quercus garryana,native,,tree,
QUKE,Quercus,kelloggii,Quercus kelloggii,native,,tree,
QUSA,Quercus,sadleriana,Quercus sadleriana,native,,shrub,
QUVA,Quercus,vaccinifolium,Quercus vaccinifolium,native,,shrub,
RAXX,Ranunculus,sp.,Ranunculus sp.,native,,herb,
RHPU,Rhamnus,purshiana,Rhamnus purshiana,native,,shrub,
RILO,Ribes,lobbii,Ribes lobbii,native,,shrub,
RIRO,Ribes,roezlii,Ribes roezlii,native,,shrub,
RISA,Ribes,sanguineum,Ribes sanguineum,native,,shrub,
ROGY,Rosa,gymnocarpa,Rosa gymnocarpa,native,,shrub,
RUBI,Rubus,bifrons,Rubus bifrons,non_native,or R armeniacus or whatever,shrub,
RULE,Rubus,leucodermis,Rubus leucodermis,native,,shrub,
RUPA,Rubus,parviflorus,Rubus parviflorus,native,,shrub,
RUUR,Rubus,ursinus,Rubus ursinus,native,,shrub,
SABI,Sanicula,bipinnatifida,Sanicula bipinnatifida,native,,herb,
