,species,UNLS_occ,HS_occ,MANAG_occ,MULT_occ,Rx_occ,total_occ,,ratio,ratio2,,,total,mult,Rx
150,WHMO,22,19,7,11,0,16,,0.856481481,2.839506173,,,,,
27,CADE,19,19,35,25,50,28,,0.978835979,0.532407407,,,,,
114,PTAQ,38,37,46,39,56,45,,0.978835979,0.811287478,,,,,
136,SYMO,30,30,52,43,67,43,,0.996632997,0.567901235,,,,,
117,QUCH,78,81,76,89,56,86,,1.039591315,1.070899471,,,,,
60,GABO,24,26,50,61,33,39,,1.065843621,0.518518519,,,,,
137,TODI,81,89,52,64,33,78,,1.096296296,1.703703704,,,,,
95,NODE,57,63,17,25,6,46,,1.109347443,3.62037037,,,,,
17,ARME,81,93,78,79,72,90,,1.141975309,1.183127572,,,,,
103,Physconia,16,19,22,14,28,20,,1.141975309,0.851851852,,,,,
119,QUKE,57,67,54,46,61,63,,1.174603175,1.226666667,,,,,
123,ROGY,38,44,37,18,67,43,,1.174603175,1.202614379,,,,,
16,ARDI,22,26,26,21,28,26,,1.199074074,0.99382716,,,,,
20,BHGR,68,81,76,75,72,81,,1.205925926,1.070899471,,,,,
82,LYLA,54,67,59,50,67,64,,1.233333333,1.135802469,,,,,
55,FECA,27,33,46,32,61,39,,1.233333333,0.73015873,,,,,
147,WAVI,8,11,15,7,28,13,,1.37037037,0.73015873,,,,,
90,MOMA,5,7,22,18,28,14,,1.37037037,0.340740741,,,,,
81,Lupinus,5,7,11,4,22,9,,1.37037037,0.681481481,,,,,
59,GABI,3,4,20,7,33,10,,1.37037037,0.189300412,,,,,
32,Castilleja,3,4,11,4,22,7,,1.37037037,0.340740741,,,,,
107,PIPO,22,30,59,57,56,42,,1.37037037,0.504801097,,,,,
85,MANE,16,22,7,11,0,15,,1.37037037,3.407407407,,,,,
14,APAN,24,37,48,43,56,41,,1.522633745,0.774410774,,,,,
87,MECA,32,56,54,57,50,52,,1.712962963,1.022222222,,,,,
129,SASC,14,26,33,21,50,27,,1.918518519,0.795061728,,,,,
122,Ribes,30,59,48,46,50,49,,1.993265993,1.239057239,,,,,
100,Peltigera,5,11,4,4,6,7,,2.055555556,2.555555556,,,,,
44,COHE,19,41,50,46,56,41,,2.153439153,0.814814815,,,,,
144,VIAM,14,30,26,14,39,24,,2.192592593,1.135802469,,,,,
133,SPTO,41,89,83,89,67,76,,2.192592593,1.076023392,,,,,
125,RUPA,16,37,41,32,56,35,,2.283950617,0.89668616,,,,,
35,CEIN,41,93,85,89,72,78,,2.283950617,1.092117759,,,,,
92,NAWA,24,56,76,71,78,58,,2.283950617,0.73015873,,,,,
124,RULE,19,48,24,21,28,31,,2.544973545,2.013468013,,,,,
127,SACR,5,15,13,21,0,12,,2.740740741,1.135802469,,,,,
69,HODI,5,15,7,7,6,9,,2.740740741,2.271604938,,,,,
61,GAFR,5,15,4,7,0,8,,2.740740741,3.407407407,,,,,
15,Arctostaphylos,8,22,24,25,22,20,,2.740740741,0.929292929,,,,,
42,CLPE,3,7,20,21,11,11,,2.740740741,0.378600823,,,,,
39,CHPO,3,7,9,14,0,7,,2.740740741,0.851851852,,,,,
115,PUFI,8,26,22,29,11,20,,3.197530864,1.192592593,,,,,
118,QUGA,8,26,17,29,0,18,,3.197530864,1.490740741,,,,,
126,RUUR,11,37,13,18,6,20,,3.425925926,2.839506173,,,,,
51,ELGL,14,48,46,32,67,39,,3.562962963,1.054673721,,,,,
75,LANE,3,11,41,18,78,23,,4.111111111,0.269005848,,,,,
11,AMAL,3,11,15,11,22,11,,4.111111111,0.73015873,,,,,
30,CAREX,3,11,4,4,6,6,,4.111111111,2.555555556,,,,,
104,PIAT,3,11,4,7,0,6,,4.111111111,2.555555556,,,,,
96,NOFL,8,37,48,32,72,35,,4.567901235,0.774410774,,,,,
5,ACWO,5,26,20,32,0,18,,4.796296296,1.325102881,,,,,
19,ASPR,8,41,48,32,72,36,,5.024691358,0.851851852,,,,,
41,Clarkia,3,15,17,21,11,13,,5.481481481,0.851851852,,,,,
89,MGWA,5,33,37,25,56,28,,6.166666667,0.901960784,,,,,
3,ACMI,3,19,28,29,28,19,,6.851851852,0.655270655,,,,,
131,Silene,3,22,4,7,0,9,,8.222222222,5.111111111,,,,,
29,CAOC,3,26,26,36,11,20,,9.592592593,0.99382716,,,,,
70,HOWR,3,26,17,25,6,16,,9.592592593,1.490740741,,,,,
36,CHAN,3,26,15,18,11,15,,9.592592593,1.703703704,,,,,
152,XXHU,3,26,15,11,22,15,,9.592592593,1.703703704,,,,,
56,FEMI,3,33,33,39,22,25,,12.33333333,1.022222222,,,,,
132,SOPA,3,33,11,18,0,15,,12.33333333,3.066666667,,,,,
84,Madia,3,56,65,68,61,46,,20.55555556,0.851851852,,,,,
1,ACAM,0,0,13,18,6,6,,#DIV/0!,0,,,,,
45,Collinsia,0,0,13,11,17,6,,#DIV/0!,0,,,,,
91,MOUQ,0,4,20,29,6,10,,#DIV/0!,0.189300412,,,,,
130,Sidalcea,0,4,17,21,11,9,,#DIV/0!,0.212962963,,,,,
50,DRGL,0,4,11,4,22,6,,#DIV/0!,0.340740741,,,,,
135,STLE,0,4,11,18,0,6,,#DIV/0!,0.340740741,,,,,
101,PHHA,0,7,17,18,17,10,,#DIV/0!,0.425925926,,,,,
21,BRCA,0,19,33,36,28,20,,#DIV/0!,0.567901235,,,,,
26,BUSH,0,11,17,18,17,11,,#DIV/0!,0.638888889,,,,,
7,Agoseris,0,7,11,11,11,7,,#DIV/0!,0.681481481,,,,,
52,ERLA,0,19,24,18,33,16,,#DIV/0!,0.774410774,,,,,
23,BREL,0,7,9,14,0,6,,#DIV/0!,0.851851852,,,,,
31,CASJ,0,7,9,14,0,6,,#DIV/0!,0.851851852,,,,,
76,LAZB,0,48,54,68,33,38,,#DIV/0!,0.885925926,,,,,
149,WEWP,0,37,39,32,50,28,,#DIV/0!,0.946502058,,,,,
58,FRVE,0,11,11,4,22,8,,#DIV/0!,1.022222222,,,,,
68,HOCR,0,15,13,14,11,10,,#DIV/0!,1.135802469,,,,,
128,SANIG,0,11,9,7,11,7,,#DIV/0!,1.277777778,,,,,
77,LEGO,0,15,11,14,6,9,,#DIV/0!,1.362962963,,,,,
151,WREN,0,30,15,25,0,15,,#DIV/0!,1.947089947,,,,,
49,Dichelostemma,0,15,7,11,0,7,,#DIV/0!,2.271604938,,,,,
47,DAPU,0,19,4,7,0,7,,#DIV/0!,4.259259259,,,,,
