rdata$group,AR,BE,XX,CM,DL,geom,,,UN,LS1,LS2,HS1,HS2
129,0.10635299,0.037049569,0.034930323,0.536789091,0.284878027,0.004435797,,,,,,,
130,0.176708536,0,0.061366681,0.761926999,0,0.004468288,,,,,,,
131,0.0596555,0,0,0.890222455,0.050122057,0.004462887,,,,,,,
132,0.144892742,0.011078538,0,0.483364897,0.360663832,0.004293305,,,,,,,
133,0.2609454,0,0,0.739055017,0,0.004477872,,,,,,,
134,0.093281418,0,0,0.65459934,0.252119301,0.004461803,,,,,,,
135,0.148448797,0.031350288,0,0.604353099,0.21584786,0.004316923,,,,,,,
136,0.01540741,0,0.049539273,0.720833289,0.214220088,0.00427773,,,,,,,
137,0.024744766,0.013966479,0,0.863063992,0.098224824,0.004442023,,,,,,,
138,0.065613195,0,0,0.550638777,0.38374805,0.004285344,,,,,,,
139,0.029586941,0,0,0.884293646,0.086122162,0.004326333,,,,,,,
140,0,0.138883905,0,0.495262615,0.365853479,0.004363436,,,,,,,
141,0.098043673,0,0,0.706197034,0.195759331,0.004609139,,,,,,,
142,4.20E-05,0.038630297,0,0.594935483,0.366394947,0.004377102,,,,,,,
143,0.003306842,0,0.201794941,0.660170541,0.134730391,0.004395294,,,,,,,
144,0.12607203,0,0,0.871257267,0.002670772,0.004551148,,,,,,,
145,0,0,0.154096636,0.753287196,0.092618894,0.004224111,,,,,,,
146,0,0,0,0.62572022,0.374279805,0.004488005,,,,,,,
147,0.226605482,0,0,0.675031776,0.098365487,0.004390829,,,,,,,
148,0,0,0,0.740204483,0.25979555,0.004653996,,,,,,,
149,0,0,0.083980709,0.592838326,0.323183642,0.004515369,,,,,,,
150,0.221586769,0,0,0.685213456,0.093202408,0.004321629,,,,,,,
151,0.20906437,0.116687119,0,0.674248562,0,0.004231209,,,,,,,
152,0,0,0.090374109,0.594641907,0.31498407,0.004493538,,,,,,,
153,0.066258205,0,0,0.672949761,0.260792114,0.004470915,,,,,,,
154,0.136403109,0,0.126110436,0.520205711,0.217280792,0.004264751,,,,,,,
155,0.07224709,0.015447132,0,0.870360253,0.041948194,0.004547776,,,,,,,
156,0.200865187,0,0,0.799135727,0,0.004440998,,,,,,,
157,0,0,0,0.613871051,0.386128969,0.004447601,,,,,,,
158,0.005843304,0,0.134160744,0.611376384,0.24862232,0.004300858,,,,,,,
159,0.006652012,0,0,0.855743544,0.137604493,0.004505081,,,,,,,
160,0.043965963,0,0,0.811521548,0.144515209,0.004502888,,,,,,,
161,0,0,0,0.752955404,0.247044662,0.004510564,,,,,,,
162,0,0,0.04867758,0.687230039,0.264092384,0.004577683,,,,,,,
163,0.075985206,0,0,0.603193979,0.320820849,0.004321719,,,,,,,
164,0.051726784,0,0,0.790875426,0.157397864,0.004415211,,,,,,,
165,0.039676034,0,0,0.637421968,0.32290204,0.004535341,,,,,,,
166,0.033425934,0,0.073054915,0.77306439,0.120457487,0.004451741,,,,,,,
167,0.087671338,0,0.056088477,0.698382069,0.157858216,0.004294618,,,,,,,
168,0.13152477,0,0,0.791559553,0.076915691,0.00433334,,,,,,,
169,0.129914163,0,0,0.75408997,0.115995888,0.004395377,,,,,,,
170,0,0.182306458,0,0.687027195,0.130668978,0.00424158,,,,,,,
171,0,0,0,0.740681388,0.259318665,0.00452309,,,,,,,
172,0,0,0.112464333,0.665400528,0.222135261,0.004361122,,,,,,,
173,0.116205137,0,0,0.680302861,0.203493355,0.004264535,,,,,,,
174,0.097198614,0,0,0.797446604,0.105354795,0.004419929,,,,,,,
175,0,0.054787147,0,0.776558152,0.168655995,0.004587279,,,,,,,
176,0,0,0,0.723364004,0.276636037,0.004500419,,,,,,,
177,0.047270033,0,0,0.557493716,0.395236258,0.00433948,,,,,,,
178,0,0,0,0.79489574,0.20510431,0.004424852,,,,,,,
179,0,0,0,0.72695818,0.27304185,0.00455799,,,,,,,
180,0.048143565,0,0,0.536797387,0.415061792,0.00428704,,,,,,,
181,0,0,0,0.750502095,0.249497937,0.004379639,,,,,,,
182,0.037711895,0,0,0.716910187,0.245380666,0.004357393,,,,,,,
183,0.170745618,0,0,0.469466239,0.359790891,0.004370736,,,,,,,
184,0,0,0,0.789039048,0.210960989,0.004514613,,,,,,,
185,0.135173153,0,0,0.648265235,0.216563421,0.00430956,,,,,,,
186,0.014440552,0.104905149,0,0.716192462,0.164461899,0.004309438,,,,,,,
187,0.253253966,0,0,0.697789315,0.048959137,0.004333298,,,,,,,
188,0.093471531,0,0.013157998,0.704599585,0.188770934,0.004440698,,,,,,,
189,0.043771293,0.030153118,0,0.670692787,0.255382834,0.004530479,,,,,,,
