sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Meristemomyces;Meristemomyces arctostaphylos;	0	2	8	1	1	1	0	0	7	4	14	0	0	6	5	11	0	9
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;NA;;	0	0	0	0	0	0	0	0	0	3	6	0	7	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Penidiella;Penidiella drakensbergensis;	3	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	3	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;Endoconidioma;Endoconidioma populi;	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;Rhizosphaera;;	2	0	1	0	0	0	0	0	2	1	0	0	0	0	3	0	1	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;Scleroconidioma;Scleroconidioma sphagnicola;	3	0	5	2	14	0	0	0	0	1	64	3	0	27	3	13	0	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Dothiora;Dothiora maculans;	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Hormonema;Hormonema sp.;	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Hormonema;Hormonema viticola;	1	44	6	0	15	0	0	0	8	13	6	0	5	4	0	106	0	3
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;NA;;	0	8	7	0	0	0	0	0	2	0	0	0	5	0	2	0	0	7
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Sydowia;Sydowia polyspora;	0	1	10	1	0	0	0	0	3	1	0	0	1	0	12	0	0	5
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;NA;;;	0	8	6	0	0	0	0	0	2	0	0	0	4	0	1	11	0	5
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;NA;NA;Dothideales sp. P44C001;	0	10	0	0	0	0	0	0	3	0	0	0	5	1	0	7	0	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;NA;Stigmina;aff. Stigmina sp.;	0	0	0	0	0	0	0	0	0	0	18	1	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium;;	0	20	114	0	2	3	0	0	4	0	16	3	152	20	2	38	0	32
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Lophium;Lophium arboricola;	0	6	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Lophium;Lophium mytilinum;	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Mytilinidion;Mytilinidion mytilinellum;	47	0	45	22	0	0	0	0	132	47	0	1	1	15	445	371	33	130
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Pseudocamaropycnis;Pseudocamaropycnis pini;	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Coniothyriaceae;Coniothyrium;Coniothyrium hakeae;	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Pyrenochaeta;;	0	0	0	2	0	0	0	0	0	0	0	0	0	18	0	0	36	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Pyrenochaeta;Pyrenochaeta sp. G41;	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Pyrenochaeta;Pyrenochaeta sp. shylm24;	23	53	0	21	34	13	0	0	91	60	4	0	16	7	15	206	27	56
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella;;	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Epicoccum;;	2	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;NA;;	0	6	306	0	2	0	0	0	1	0	15	2	50	10	0	279	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Phoma;;	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Phoma;Phoma herbarum;	0	67	322	1	3	0	0	0	35	0	0	0	118	0	0	15	0	12
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Phoma;Phoma sp. CID602;	0	0	10	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Phoma;Phoma sp. R193;	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Phoma;Phoma sp.;	16	0	0	0	216	0	0	0	0	0	0	0	0	11	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Kalmusia;Kalmusia variispora;	0	2	14	0	0	0	0	0	0	0	0	0	18	0	0	1	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae;Aposphaeria;Aposphaeria corallinolutea;	0	0	73	0	0	0	0	0	0	0	1	0	1	19	0	28	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae;Lophiostoma;Lophiostoma sp. AK190/05;	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Alpinaria;Alpinaria rhododendri;	0	1	1	0	0	0	0	0	3	0	0	0	16	0	1	0	0	12
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Herpotrichia;Herpotrichia juniperi;	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;NA;;	0	4	0	0	4	0	0	0	28	2	0	0	16	5	9	24	0	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Melanommataceae;Pleotrichocladium;Pleotrichocladium opacum;	2	0	0	2	0	0	0	0	0	3	2	0	1	4	0	0	0	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;;;	0	37	340	0	1	0	0	0	31	2	10	0	223	90	1	334	0	3
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;Cryptocoryneum;Cryptocoryneum condensatum;	0	7	1	0	0	0	0	0	5	0	0	0	0	0	2	0	0	10
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;Inflatispora;Inflatispora caryotae;	65	0	0	15	0	2	0	0	7	11	0	8	0	4	145	11	18	80
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. 1 ICMP 18945;	0	0	0	0	0	0	0	0	0	0	12	1	1	0	0	0	6	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. 19 KB-2015;	0	0	5	0	0	0	0	0	2	0	0	0	13	0	0	1	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. 5 TMS-2011;	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. 9 KB-2015;	0	3	26	0	0	0	0	0	0	0	0	0	7	0	0	5	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. DW-2016d;	0	0	1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. MU-2009-2;	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. r059;	0	0	809	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. RFK111;	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. XS52s1;	0	0	0	2	0	0	0	0	10	0	0	0	1	0	0	0	7	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp. XS55m2;	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp.;	1	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Chaetosphaeronema;Chaetosphaeronema sp.;	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Neosulcatispora;Neosulcatispora agaves;	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Paraphoma;;	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Paraphoma;Paraphoma fimeti;	0	163	1598	0	1	0	0	0	277	1	0	0	121	1	1	42	0	8
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Paraphoma;Paraphoma sp.;	0	0	289	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
