sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;	0	0	11	1	2	0	0	0	8	1	3	5	3	1	2	8	1	6
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp.	0	0	5	2	2	6	3	2	7	17	11	1	14	10	0	7	4	14
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	0	1	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0
Prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;	0	0	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0
Prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia intermedia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0
Prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0
Prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;NA;	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Eukaryota;Animalia;Annelida;Clitellata;Haplotaxida;Enchytraeidae;NA;	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Babesiidae;Babesia;Babesia divergens	0	0	1	0	12	0	2	1	0	4	2	0	0	0	0	1	2	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Babesiidae;Babesia;Babesia microti	0	1	21	1	10	2	0	0	14	15	1	67	3	0	1	0	0	11
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Babesiidae;Babesia;Babesia sp. BiCM002	4	1	3	0	24	0	0	0	4	0	0	0	0	0	19	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Cardiosporidium;Cardiosporidium cionae	0	1	5	3	2	2	1	0	3	0	0	0	0	5	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Theileriidae;Theileria;Theileria sp.	0	2	5	0	11	1	2	3	13	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Theileriidae;Theileria;Theileria tachyglossi	0	0	0	0	1	0	0	1	0	0	10	2	0	0	0	0	0	0
Eukaryota;Chromista;Miozoa;Coccidia;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
Eukaryota;Chromista;Miozoa;Coccidia;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium parvum	0	0	3	0	0	0	0	0	1	0	4	4	0	0	0	0	0	8
Eukaryota;Chromista;Miozoa;Coccidia;Eucoccidiorida;Sarcocystidae;NA;	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0
Eukaryota;Animalia;Arthropoda;Arachnida;Astigmata;NA;;	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;Veigaia;Veigaia nemorensis	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	2	0	0	0	0	1	0	0	1	10	664	44	0	0	0	5	84	1
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Cosmochthoniidae;Cosmochthonius;Cosmochthonius lanatus	0	0	207	0	0	3	0	0	12	206	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Ctenacaridae;Ctenacarus;Ctenacarus sp. 1 PBK-2011	0	0	0	0	2	0	65	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Oribatulidae;Oribatula;	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Oribatulidae;Oribatula;Oribatula sakamorii	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Steganacaridae;Atropacarus;Atropacarus striculus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Tectocepheidae;Tectocepheus;	0	0	3	0	4	0	1	0	5	0	6	321	0	350	291	0	1	0
Eukaryota;Animalia;Arthropoda;Arachnida;Pseudoscorpiones;Larcidae;Larca;Larca lata	0	0	0	0	0	1	0	0	1	2	0	0	3	0	0	0	0	2
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Cheyletidae;NA;	0	0	0	0	0	0	0	0	2	0	0	3	0	0	100	0	3	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Diptilomiopidae;Diptacus;Diptacus sp. NJAUEriHN69	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Eupodidae;Linopodes;Linopodes sp. AD1085	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;NA;;	0	0	0	0	0	0	0	0	0	0	19	4	0	0	5	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Rhagidiidae;NA;Rhagidiidae gen. sp. AD1060	6	0	0	0	0	10	0	0	0	8	4	0	1	21	0	20	4	8
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Stigmaeidae;Eustigmaeus;Eustigmaeus sp. AD1329	0	0	0	0	0	0	0	0	7	0	0	0	0	0	73	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Tenuipalpidae;Brevipalpus;Brevipalpus sp. AD1016	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Tetranychidae;Tetranychus;Tetranychus urticae	0	0	0	3	0	0	0	0	0	0	22	1	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Trombiculidae;Eutrombicula;Eutrombicula splendens	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0
NA;NA;NA;NA;Scolopendromorpha;Cryptopidae;Cryptops;Cryptops sarasini	0	0	0	0	0	1	0	0	52	0	11	0	0	0	0	0	0	0
NA;NA;NA;NA;Scutigeromorpha;Scutigeridae;NA;	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Dicyrtomidae;NA;Dicyrtomidae sp. R6	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Entomobryidae;NA;	2	0	0	0	0	0	0	0	0	670	0	0	245	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Katiannidae;NA;	246	0	2	6	0	4	0	2	10	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	4	0	0	0	0	0	0	0	0	1533	0	9	0	0	172	0	102	282
Eukaryota;Animalia;Arthropoda;Diplopoda;Polydesmida;NA;;	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Blattodea;Lamproblattidae;Lamproblatta;Lamproblatta albipalpus	2	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	1	2
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Cecidomyiidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;NA;;	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	27
Eukaryota;Animalia;Arthropoda;Insecta;Hymenoptera;NA;;	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Mantodea;Mantidae;Mantis;Mantis religiosa	0	0	2	0	0	1	4	3	0	7	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	0	0	0	0	0	0	0	0	0	1	0	0	555	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Orthoptera;Rhaphidophoridae;NA;	0	0	72	1	0	10	18	5	462	0	0	0	6	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Thysanoptera;Thripidae;NA;	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
Eukaryota;Animalia;Arthropoda;Insecta;Thysanoptera;Thripidae;Palmiothrips;Palmiothrips sp. TH65	0	0	0	1	0	1	0	1	1	3	0	0	0	0	20	0	0	0
Eukaryota;Animalia;Arthropoda;Maxillopoda;Cyclopoida;Oithonidae;Oithona;Oithona similis	0	0	9	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	1	0	0	0	0	0	0	0	161	0	20	42	0	195	47	23	0	0
Eukaryota;Animalia;Arthropoda;Maxillopoda;Poecilostomatoida;Taeniacanthidae;NA;	0	0	0	0	0	0	0	0	29	0	2	0	0	1	0	4	0	0
NA;NA;NA;NA;;NA;;	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3
NA;NA;NA;NA;Symphyla;Scutigerellidae;Scutigerella;Scutigerella sp. MG-2003	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;	0	0	0	0	2	1	65	11	0	0	0	21	1	18	0	0	0	1
Eukaryota;Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces borealis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
