sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Bdellidae;NA;NA;	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Cunaxidae;NA;;	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Eupodidae;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	86	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Eupodidae;NA;NA;	0	0	0	0	0	21	0	0	0	0	0	0	0	0	107	14	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;NA;;;	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	156	0	1
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;NA;NA;NA;	0	0	0	0	0	0	0	0	0	3	0	27	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Tarsonemidae;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Tarsonemidae;NA;NA;	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Tydeidae;NA;;	1	0	0	0	0	9	0	0	0	160	0	1	0	15	26	0	28	1
Eukaryota;Animalia;Arthropoda;Arachnida;Trombidiformes;Tydeidae;NA;NA;	0	0	0	0	0	0	0	0	4	80	0	8	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Branchiopoda;Diplostraca;NA;NA;NA;	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	1	0	0
Eukaryota;Animalia;Arthropoda;Chilopoda;Lithobiomorpha;NA;;;	0	0	0	0	0	0	0	0	50	0	0	0	0	0	3	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Entomobryidae;Entomobrya;Entomobrya nivalis;	0	0	0	0	0	0	0	0	3	23	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Entomobryidae;Entomobrya;NA;	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Entomobryidae;Lepidocyrtus;Lepidocyrtus sp. BXW-2014;	0	0	16	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Entomobryidae;NA;;	51	0	15	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Entomobryidae;NA;NA;	10	0	0	82	0	0	0	0	0	116	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Entomobryidae;Pseudosinella;Pseudosinella duodecimoculata;	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Isotomidae;Desoria;Desoria sp1;	0	0	0	0	0	0	43	0	0	3	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Collembola;NA;Isotomidae;NA;NA;	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;NA;;;	100	0	0	3	0	20	134	60	7	755	0	0	31	0	0	0	27	0
NA;NA;NA;NA;NA;NA;NA;NA;	96	0	0	0	0	3	0	3	7	5777	0	0	82	0	0	0	6	0
NA;NA;NA;NA;NA;Tomoceridae;NA;NA;	0	19	0	0	0	0	0	0	1	100	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Entomobryidae;Homidia;Homidia sp. 1 13SX2_1;	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
