sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Plantae;Streptophyta;Bryopsida;Bryales;Bryaceae;Ptychostomum;;	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
Eukaryota;Plantae;Streptophyta;Bryopsida;Bryales;Bryaceae;Ptychostomum;Ptychostomum pallens;	0	6	0	168	22	0	0	0	0	0	0	0	0	0	26	13	738	42
Eukaryota;Plantae;Streptophyta;Bryopsida;Bryales;Bryaceae;Rosulabryum;Rosulabryum capillare;	0	10	9	158	17	0	0	0	0	0	0	0	4	0	13	6	550	40
Eukaryota;Plantae;Streptophyta;Bryopsida;Dicranales;Fissidentaceae;Fissidens;Fissidens bryoides;	0	0	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Funariales;Funariaceae;Funaria;;	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Funariales;Funariaceae;Funaria;Funaria hygrometrica;	2855	6053	918	1716	1972	4524	0	1170	4383	3796	300	907	840	1201	1563	37	190	7211
Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Kindbergia;Kindbergia oregana;	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;NA;;	0	0	0	10	0	0	0	0	0	38	0	0	0	0	0	0	0	8
Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Scleropodium;;	0	0	0	19	0	0	0	0	2	39	0	0	0	0	0	0	2	37
Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Scleropodium;Scleropodium touretii;	0	0	0	6	0	0	0	0	0	15	0	0	0	0	0	0	3	4
Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Brachytheciaceae;Trachybryum;Trachybryum megaptilum;	0	0	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Cryphaeaceae;Dendroalsia;Dendroalsia abietina;	0	0	1	93	109	115	0	33	1	216	64	23	0	0	8	0	9	21
Eukaryota;Plantae;Streptophyta;Bryopsida;Hypnales;Lembophyllaceae;Isothecium;;	0	0	1	78	0	0	82	0	0	6357	0	0	0	0	0	0	0	4
Eukaryota;Plantae;Streptophyta;Bryopsida;Pottiales;Pottiaceae;Weissia;Weissia condensa;	0	0	0	0	0	0	0	0	0	0	16	5	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Pottiales;Pottiaceae;Weissia;Weissia longidens;	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Pottiales;Pottiaceae;Weissia;Weissia muhlenbergiana;	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Pottiales;Pottiaceae;Weissia;Weissia rostellata;	0	0	0	0	0	0	0	0	0	0	125	26	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Pottiales;Pottiaceae;Weissia;Weissia wimmeriana;	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Pseudoditrichales;Ditrichaceae;Ceratodon;Ceratodon purpureus;	0	260	663	0	0	0	0	0	57	0	0	0	41	3	0	91	0	370
Eukaryota;Plantae;Streptophyta;Jungermanniopsida;Porellales;Frullaniaceae;Frullania;;	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Jungermanniopsida;Porellales;Frullaniaceae;Frullania;Frullania repandistipula;	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Jungermanniopsida;Porellales;Porellaceae;Porella;;	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Jungermanniopsida;Porellales;Porellaceae;Porella;Porella cf. campylophylla Long 34391;	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Klebsormidiaceae;Klebsormidium;;	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	33	0	0
Eukaryota;Plantae;Streptophyta;Liliopsida;Poales;Poaceae;Festuca;;	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Liliopsida;Poales;Poaceae;Festuca;Festuca myuros;	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Liliopsida;Poales;Poaceae;NA;;	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Apiales;Apiaceae;Torilis;Torilis arvensis;	0	1	6270	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Asterales;Asteraceae;Hieracium;;	0	0	0	0	0	0	0	0	0	1786	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Asterales;Asteraceae;Hypochaeris;Hypochaeris glabra;	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Asterales;Asteraceae;Lactuca;;	0	0	6842	0	0	0	0	0	0	0	0	0	1078	1	0	0	1	1
Eukaryota;Plantae;Streptophyta;NA;Asterales;Asteraceae;Lactuca;Lactuca sativa;	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Asterales;Asteraceae;Madia;Madia sp. 1163;	0	0	855	0	0	0	0	0	0	0	0	0	735	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Caryophyllales;Caryophyllaceae;Cerastium;;	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;Cornales;Hydrangeaceae;Carpenteria;;	0	0	0	0	0	0	0	0	0	0	0	0	0	1106	0	0	0	0
